region,zip_code,city,state
SOUTHERN,00601,ADJUNTAS,PR
SOUTHERN,00602,AGUADA,PR
SOUTHERN,00603,AGUADILLA,PR
SOUTHERN,00604,AGUADILLA,PR
SOUTHERN,00605,AGUADILLA,PR
SOUTHERN,00606,MARICAO,PR
SOUTHERN,00610,ANASCO,PR
SOUTHERN,00611,ANGELES,PR
SOUTHERN,00612,ARECIBO,PR
SOUTHERN,00613,ARECIBO,PR
SOUTHERN,00614,ARECIBO,PR
SOUTHERN,00616,BAJADERO,PR
SOUTHERN,00617,BARCELONETA,PR
SOUTHERN,00622,BOQUERON,PR
SOUTHERN,00623,CABO ROJO,PR
SOUTHERN,00624,PENUELAS,PR
SOUTHERN,00627,CAMUY,PR
SOUTHERN,00631,CASTANER,PR
SOUTHERN,00637,SABANA GRANDE,PR
SOUTHERN,00638,CIALES,PR
SOUTHERN,00641,UTUADO,PR
SOUTHERN,00646,DORADO,PR
SOUTHERN,00647,ENSENADA,PR
SOUTHERN,00650,FLORIDA,PR
SOUTHERN,00652,GARROCHALES,PR
SOUTHERN,00653,GUANICA,PR
SOUTHERN,00656,GUAYANILLA,PR
SOUTHERN,00659,HATILLO,PR
SOUTHERN,00660,HORMIGUEROS,PR
SOUTHERN,00662,ISABELA,PR
SOUTHERN,00664,JAYUYA,PR
SOUTHERN,00667,LAJAS,PR
SOUTHERN,00669,LARES,PR
SOUTHERN,00670,LAS MARIAS,PR
SOUTHERN,00674,MANATI,PR
SOUTHERN,00676,MOCA,PR
SOUTHERN,00677,RINCON,PR
SOUTHERN,00678,QUEBRADILLAS,PR
SOUTHERN,00680,MAYAGUEZ,PR
SOUTHERN,00681,MAYAGUEZ,PR
SOUTHERN,00682,MAYAGUEZ,PR
SOUTHERN,00683,SAN GERMAN,PR
SOUTHERN,00685,SAN SEBASTIAN,PR
SOUTHERN,00687,MOROVIS,PR
SOUTHERN,00688,SABANA HOYOS,PR
SOUTHERN,00690,SAN ANTONIO,PR
SOUTHERN,00692,VEGA ALTA,PR
SOUTHERN,00693,VEGA BAJA,PR
SOUTHERN,00694,VEGA BAJA,PR
SOUTHERN,00698,YAUCO,PR
SOUTHERN,00703,AGUAS BUENAS,PR
SOUTHERN,00704,AGUIRRE,PR
SOUTHERN,00705,AIBONITO,PR
SOUTHERN,00707,MAUNABO,PR
SOUTHERN,00714,ARROYO,PR
SOUTHERN,00715,MERCEDITA,PR
SOUTHERN,00716,PONCE,PR
SOUTHERN,00717,PONCE,PR
SOUTHERN,00718,NAGUABO,PR
SOUTHERN,00719,NARANJITO,PR
SOUTHERN,00720,OROCOVIS,PR
SOUTHERN,00721,PALMER,PR
SOUTHERN,00723,PATILLAS,PR
SOUTHERN,00725,CAGUAS,PR
SOUTHERN,00726,CAGUAS,PR
SOUTHERN,00727,CAGUAS,PR
SOUTHERN,00728,PONCE,PR
SOUTHERN,00729,CANOVANAS,PR
SOUTHERN,00730,PONCE,PR
SOUTHERN,00731,PONCE,PR
SOUTHERN,00732,PONCE,PR
SOUTHERN,00733,PONCE,PR
SOUTHERN,00735,CEIBA,PR
SOUTHERN,00736,CAYEY,PR
SOUTHERN,00737,CAYEY,PR
SOUTHERN,00738,FAJARDO,PR
SOUTHERN,00739,CIDRA,PR
SOUTHERN,00740,FAJARDO,PR
SOUTHERN,00741,HUMACAO,PR
SOUTHERN,00744,RIO BLANCO,PR
SOUTHERN,00745,RIO GRANDE,PR
SOUTHERN,00751,SALINAS,PR
SOUTHERN,00754,SAN LORENZO,PR
SOUTHERN,00757,SANTA ISABEL,PR
SOUTHERN,00765,VIEQUES,PR
SOUTHERN,00766,VILLALBA,PR
SOUTHERN,00767,YABUCOA,PR
SOUTHERN,00769,COAMO,PR
SOUTHERN,00771,LAS PIEDRAS,PR
SOUTHERN,00772,LOIZA,PR
SOUTHERN,00773,LUQUILLO,PR
SOUTHERN,00775,CULEBRA,PR
SOUTHERN,00777,JUNCOS,PR
SOUTHERN,00778,GURABO,PR
SOUTHERN,00780,COTO LAUREL,PR
SOUTHERN,00782,COMERIO,PR
SOUTHERN,00783,COROZAL,PR
SOUTHERN,00784,GUAYAMA,PR
SOUTHERN,00785,GUAYAMA,PR
SOUTHERN,00786,LA PLATA,PR
SOUTHERN,00791,HUMACAO,PR
SOUTHERN,00792,HUMACAO,PR
SOUTHERN,00794,BARRANQUITAS,PR
SOUTHERN,00795,JUANA DIAZ,PR
SOUTHERN,00801,ST THOMAS,VI
SOUTHERN,00802,ST THOMAS,VI
SOUTHERN,00803,ST THOMAS,VI
SOUTHERN,00804,ST THOMAS,VI
SOUTHERN,00805,ST THOMAS,VI
SOUTHERN,00820,CHRISTIANSTED,VI
SOUTHERN,00821,CHRISTIANSTED,VI
SOUTHERN,00822,CHRISTIANSTED,VI
SOUTHERN,00823,CHRISTIANSTED,VI
SOUTHERN,00824,CHRISTIANSTED,VI
SOUTHERN,00830,ST JOHN,VI
SOUTHERN,00831,ST JOHN,VI
SOUTHERN,00840,FREDERIKSTED,VI
SOUTHERN,00841,FREDERIKSTED,VI
SOUTHERN,00850,KINGSHILL,VI
SOUTHERN,00851,KINGSHILL,VI
SOUTHERN,00901,SAN JUAN,PR
SOUTHERN,00902,SAN JUAN,PR
SOUTHERN,00907,SAN JUAN,PR
SOUTHERN,00908,SAN JUAN,PR
SOUTHERN,00909,SAN JUAN,PR
SOUTHERN,00910,SAN JUAN,PR
SOUTHERN,00911,SAN JUAN,PR
SOUTHERN,00912,SAN JUAN,PR
SOUTHERN,00913,SAN JUAN,PR
SOUTHERN,00914,SAN JUAN,PR
SOUTHERN,00915,SAN JUAN,PR
SOUTHERN,00916,SAN JUAN,PR
SOUTHERN,00917,SAN JUAN,PR
SOUTHERN,00918,SAN JUAN,PR
SOUTHERN,00919,SAN JUAN,PR
SOUTHERN,00920,SAN JUAN,PR
SOUTHERN,00921,SAN JUAN,PR
SOUTHERN,00922,GUAYNABO,PR
SOUTHERN,00923,SAN JUAN,PR
SOUTHERN,00924,SAN JUAN,PR
SOUTHERN,00925,SAN JUAN,PR
SOUTHERN,00926,SAN JUAN,PR
SOUTHERN,00927,SAN JUAN,PR
SOUTHERN,00928,SAN JUAN,PR
SOUTHERN,00929,SAN JUAN,PR
SOUTHERN,00931,SAN JUAN,PR
SOUTHERN,00933,SAN JUAN,PR
SOUTHERN,00934,SAN JUAN,PR
SOUTHERN,00936,SAN JUAN,PR
SOUTHERN,00937,CAROLINA,PR
SOUTHERN,00940,SAN JUAN,PR
SOUTHERN,00949,TOA BAJA,PR
SOUTHERN,00950,TOA BAJA,PR
SOUTHERN,00951,TOA BAJA,PR
SOUTHERN,00952,SABANA SECA,PR
SOUTHERN,00953,TOA ALTA,PR
SOUTHERN,00954,TOA ALTA,PR
SOUTHERN,00955,SAN JUAN,PR
SOUTHERN,00956,BAYAMON,PR
SOUTHERN,00957,BAYAMON,PR
SOUTHERN,00958,BAYAMON,PR
SOUTHERN,00959,BAYAMON,PR
SOUTHERN,00960,BAYAMON,PR
SOUTHERN,00961,BAYAMON,PR
SOUTHERN,00962,CATANO,PR
SOUTHERN,00963,CATANO,PR
SOUTHERN,00965,CATANO,PR
